Date,Cases_Inside_Lombardy,Cases_Italy
26/12/2020,1606,10431
27/12/2020,466,8913
28/12/2020,573,8585
29/12/2020,843,11224
30/12/2020,1673,16202
31/12/2020,3859,23477
01/01/2021,3056,22211
02/01/2021,1402,11831
03/01/2021,1709,14245
04/01/2021,863,10800
05/01/2021,1338,15378
06/01/2021,2952,20331
07/01/2021,2799,18020
08/01/2021,1963,17533
09/01/2021,2506,19978
10/01/2021,3267,18627
11/01/2021,1488,12532
12/01/2021,1146,14242
13/01/2021,2245,15774
14/01/2021,2587,17246
15/01/2021,2205,16146
16/01/2021,2134,16310
17/01/2021,1603,12545
18/01/2021,1189,8825
19/01/2021,930,10497
20/01/2021,1876,13571
21/01/2021,2234,14078
22/01/2021,1969,13633
23/01/2021,1535,13331
24/01/2021,1375,11629
25/01/2021,1484,8562
26/01/2021,1230,10593
27/01/2021,2293,15204
28/01/2021,2603,14372
29/01/2021,1900,13574
30/01/2021,1832,12715
31/01/2021,1438,11252
01/02/2021,1093,7925
02/02/2021,912,9660
03/02/2021,1738,13189
04/02/2021,1746,13659
05/02/2021,2504,14218
06/02/2021,1923,13442
07/02/2021,1515,11641
08/02/2021,895,7970
09/02/2021,1625,10630
10/02/2021,1849,12956
11/02/2021,2434,15146
12/02/2021,2526,13908
13/02/2021,2277,13532
14/02/2021,1987,11068
15/02/2021,945,7351
16/02/2021,1696,10386
17/02/2021,1764,12074
18/02/2021,2540,13762
19/02/2021,3724,15479
20/02/2021,3019,14931
21/02/2021,2514,13452
22/02/2021,1491,9630
23/02/2021,2480,13314
24/02/2021,3310,16424
25/02/2021,4243,19886
26/02/2021,4557,20499
27/02/2021,4191,18916
28/02/2021,3529,17455
01/03/2021,2135,13114
02/03/2021,3762,17083
03/03/2021,4590,20884
04/03/2021,5174,22865
05/03/2021,5210,24036
06/03/2021,5658,23641
07/03/2021,4397,20765
