age_groups,location,population,proportion
0-9,Outside,4994995,0.082614025
10-19,Outside,5733448,0.094827566
20-29,Outside,6103436,0.100946931
30-39,Outside,6998434,0.115749626
40-49,Outside,9022004,0.149218181
50-59,Outside,9567192,0.158235242
60-69,Outside,7484862,0.123794835
70-79,Outside,6028908,0.099714286
80+,Outside,4528549,0.074899307
0-9,Lombardy,854418,0.085206613
10-19,Lombardy,962677,0.096002713
20-29,Lombardy,986159,0.09834445
30-39,Lombardy,1164199,0.116099442
40-49,Lombardy,1545073,0.154082003
50-59,Lombardy,1592109,0.158772656
60-69,Lombardy,1189118,0.118584483
70-79,Lombardy,996209,0.099346683
80+,Lombardy,737640,0.073560957
