age_groups,location,population,proportion
0-9,Outside,4874974,0.080754981
10-19,Outside,5735041,0.095002174
20-29,Outside,6076247,0.100654324
30-39,Outside,6907930,0.11443133
40-49,Outside,8801834,0.145804253
50-59,Outside,9654306,0.159925633
60-69,Outside,7614839,0.126141428
70-79,Outside,6098559,0.101023927
80+,Outside,4603741,0.076261949
0-9,Lombardy,854418,0.085206613
10-19,Lombardy,962677,0.096002713
20-29,Lombardy,986159,0.09834445
30-39,Lombardy,1164199,0.116099442
40-49,Lombardy,1545073,0.154082003
50-59,Lombardy,1592109,0.158772656
60-69,Lombardy,1189118,0.118584483
70-79,Lombardy,996209,0.099346683
80+,Lombardy,737640,0.073560957
