y,Date,Deaths,Cases
1,25/02/2020,10,322
2,26/02/2020,12,400
3,27/02/2020,17,650
4,28/02/2020,21,888
5,29/02/2020,29,1128
6,01/03/2020,34,1694
7,02/03/2020,52,2036
8,03/03/2020,79,2502
9,04/03/2020,107,3089
10,05/03/2020,148,3858
11,06/03/2020,197,4636
12,07/03/2020,233,5883
13,08/03/2020,366,7375
14,09/03/2020,463,9172
15,10/03/2020,631,10149
16,11/03/2020,827,12462
17,12/03/2020,1016,15113
18,13/03/2020,1266,17660
19,14/03/2020,1441,21157
20,15/03/2020,1809,24747
21,16/03/2020,2158,27980
22,17/03/2020,2503,31506
23,18/03/2020,2978,35713
24,19/03/2020,3405,41035
25,20/03/2020,4032,47021
26,21/03/2020,4825,53578
27,22/03/2020,5476,59138
28,23/03/2020,6077,63927
29,24/03/2020,6820,69176
30,25/03/2020,7503,74386
31,26/03/2020,8165,80539
32,27/03/2020,9134,86498
33,28/03/2020,10023,92472
34,29/03/2020,10779,97689
35,30/03/2020,11591,101739
36,31/03/2020,12428,105792
37,01/04/2020,13155,110574
38,02/04/2020,13915,115242
39,03/04/2020,14681,119827
40,04/04/2020,15362,124632
41,05/04/2020,15887,128948
42,06/04/2020,16523,132547
43,07/04/2020,17127,135586
44,08/04/2020,17669,139422
45,09/04/2020,18279,143626
46,10/04/2020,18849,147577
47,11/04/2020,19468,152271
48,12/04/2020,19899,156363
49,13/04/2020,20465,159516
50,14/04/2020,21067,162488
51,15/04/2020,21645,165155
52,16/04/2020,22170,168941
53,17/04/2020,22745,172434
54,18/04/2020,23227,175925
55,19/04/2020,23660,178972
56,20/04/2020,24114,181228
57,21/04/2020,24648,183957
58,22/04/2020,25085,187327
59,23/04/2020,25549,189973
60,24/04/2020,25969,192994
61,25/04/2020,26384,195351
62,26/04/2020,26644,197675
63,27/04/2020,26977,199414
64,28/04/2020,27359,201505
65,29/04/2020,27682,203591
66,30/04/2020,27967,205463
67,01/05/2020,28236,207428
68,02/05/2020,28710,209328
69,03/05/2020,28884,210717
70,04/05/2020,29079,211938
71,05/05/2020,29315,213013
72,06/05/2020,29684,214457
73,07/05/2020,29958,215858
74,08/05/2020,30201,217185
75,09/05/2020,30395,218268
76,10/05/2020,30560,219070
77,11/05/2020,30739,219814
78,12/05/2020,30911,221216
79,13/05/2020,31106,222104
80,14/05/2020,31368,223096
81,15/05/2020,31610,223885
82,16/05/2020,31763,224760
83,17/05/2020,31908,225435
84,18/05/2020,32007,225886
85,19/05/2020,32169,226699
86,20/05/2020,32330,227364
87,21/05/2020,32486,228006
88,22/05/2020,32616,228658
89,23/05/2020,32735,229327
90,24/05/2020,32785,229858
91,25/05/2020,32877,230158
92,26/05/2020,32955,230555
93,27/05/2020,33072,231139
94,28/05/2020,33142,231732
95,29/05/2020,33229,232248
96,30/05/2020,33340,232664
97,31/05/2020,33415,233019
98,01/06/2020,33475,233197
99,02/06/2020,33530,233515
100,03/06/2020,33601,233836
101,04/06/2020,33689,234013
102,05/06/2020,33774,234531
103,06/06/2020,33846,234801
104,07/06/2020,33899,234998
105,08/06/2020,33964,235278
106,09/06/2020,34043,235561
107,10/06/2020,34114,235763
108,11/06/2020,34167,236142
109,12/06/2020,34223,236305
110,13/06/2020,34301,236651
111,14/06/2020,34345,236989
112,15/06/2020,34371,237290
113,16/06/2020,34405,237500
114,17/06/2020,34448,237828
115,18/06/2020,34514,238159
116,19/06/2020,34561,238011
117,20/06/2020,34610,238275
118,21/06/2020,34634,238499
119,22/06/2020,34657,238720
120,23/06/2020,34675,238833
121,24/06/2020,34644,239410
122,25/06/2020,34678,239706
123,26/06/2020,34708,239961
124,27/06/2020,34716,240136
125,28/06/2020,34738,240310
126,29/06/2020,34744,240436
127,30/06/2020,34767,240578
128,01/07/2020,34788,240760
129,02/07/2020,34818,240961
130,03/07/2020,34833,241184
131,04/07/2020,34854,241419
132,05/07/2020,34861,241611
133,06/07/2020,34869,241819
134,07/07/2020,34899,241956
135,08/07/2020,34914,242149
136,09/07/2020,34926,242363
137,10/07/2020,34938,242639
138,11/07/2020,34945,242827
139,12/07/2020,34954,243061
140,13/07/2020,34967,243230
141,14/07/2020,34984,243344
142,15/07/2020,34997,243506
143,16/07/2020,35017,243736
144,17/07/2020,35028,243967
145,18/07/2020,35042,244216
146,19/07/2020,35045,244434
147,20/07/2020,35058,244624
148,21/07/2020,35073,244752
149,22/07/2020,35082,245032
150,23/07/2020,35092,245338
151,24/07/2020,35097,245590
152,25/07/2020,35102,245864
153,26/07/2020,35107,246118
154,27/07/2020,35112,246286
155,28/07/2020,35123,246488
156,29/07/2020,35129,246776
157,30/07/2020,35132,247158
158,31/07/2020,35141,247537
159,01/08/2020,35146,247832
160,02/08/2020,35154,248070
161,03/08/2020,35166,248229
162,04/08/2020,35171,248419
163,05/08/2020,35181,248803
164,06/08/2020,35187,249204
165,07/08/2020,35190,249756
166,08/08/2020,35203,250103
167,09/08/2020,35205,250566
168,10/08/2020,35209,250825
169,11/08/2020,35215,251237
170,12/08/2020,35225,251713
171,13/08/2020,35231,252235
172,14/08/2020,35234,252809
173,15/08/2020,35392,253438
174,16/08/2020,35396,253915
175,17/08/2020,35400,254235
176,18/08/2020,35405,254636
177,19/08/2020,35412,255278
178,20/08/2020,35418,256118
179,21/08/2020,35427,257065
180,22/08/2020,35430,258136
181,23/08/2020,35437,259345
182,24/08/2020,35441,260298
183,25/08/2020,35445,261174
184,26/08/2020,35458,262540
185,27/08/2020,35463,263949
186,28/08/2020,35472,265409
187,29/08/2020,35473,266853
188,30/08/2020,35477,268218
189,31/08/2020,35483,269214
190,01/09/2020,35491,270189
191,02/09/2020,35497,271515
192,03/09/2020,35507,272912
193,04/09/2020,35518,274644
194,05/09/2020,35533,276337
195,06/09/2020,35541,277634
196,07/09/2020,35553,278784
197,08/09/2020,35563,280153
198,09/09/2020,35577,281583
199,10/09/2020,35587,283180
200,11/09/2020,35597,284796
201,12/09/2020,35603,286297
202,13/09/2020,35610,287753
203,14/09/2020,35624,288761
204,15/09/2020,35633,289990
205,16/09/2020,35645,291442
206,17/09/2020,35658,293025
207,18/09/2020,35668,294932
208,19/09/2020,35692,296569
209,20/09/2020,35707,298156
210,21/09/2020,35724,299506
211,22/09/2020,35738,300897
212,23/09/2020,35758,302537
213,24/09/2020,35781,304323
214,25/09/2020,35801,306235
215,26/09/2020,35818,308104
216,27/09/2020,35835,309870
217,28/09/2020,35851,311364
218,29/09/2020,35875,313011
219,30/09/2020,35894,314861
220,01/10/2020,35918,317409
221,02/10/2020,35941,319908
222,03/10/2020,35968,322751
223,04/10/2020,35986,325329
224,05/10/2020,36002,327586
225,06/10/2020,36030,330263
226,07/10/2020,36061,333940
227,08/10/2020,36083,338398
228,09/10/2020,36111,343770
229,10/10/2020,36140,349494
230,11/10/2020,36166,354950
231,12/10/2020,36205,359569
232,13/10/2020,36246,365467
233,14/10/2020,36289,372799
234,15/10/2020,36372,381602
235,16/10/2020,36427,391611
236,17/10/2020,36474,402536
237,18/10/2020,36543,414241
238,19/10/2020,36616,423578
239,20/10/2020,36705,434449
240,21/10/2020,36832,449648
241,22/10/2020,36968,465726
242,23/10/2020,37059,484869
243,24/10/2020,37210,504509
244,25/10/2020,37338,525782
245,26/10/2020,37479,542789
246,27/10/2020,37700,564778
247,28/10/2020,37905,589766
248,29/10/2020,38122,616595
249,30/10/2020,38321,647674
