"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"371.0062",2953180.59795127,2951084.99610884,2955276.1997937,2949975.65150391,2956385.54439863
"372.0062",2970714.75678325,2966295.93744043,2975133.57612607,2963956.75577965,2977472.75778685
"373.0062",2990564.71246748,2984135.09536618,2996994.32956878,2980731.46167075,3000397.96326421
"374.0062",3010597.25498326,3002323.77328843,3018870.73667808,2997944.05663792,3023250.45332859
"375.0062",3029111.99197593,3019069.13353227,3039154.85041959,3013752.76540978,3044471.21854208
"376.0062",3045343.47389817,3033185.51895894,3057501.4288374,3026749.48638552,3063937.46141082
"377.0062",3060237.49498316,3045424.00307026,3075050.98689607,3037582.21413831,3082892.77582802
"378.0062",3075296.69898664,3057191.78545514,3093401.61251815,3047607.62316714,3102985.77480614
"379.0062",3091859.8170571,3070093.94125531,3113625.69285889,3058571.78260695,3125147.85150724
"380.0062",3110048.83639861,3084505.67355419,3135591.99924302,3070983.93993069,3149113.73286652
"381.0062",3129045.63620619,3099818.51091099,3158272.76150138,3084346.60536705,3173744.66704532
"382.0062",3147557.84663234,3114711.85833394,3180403.83493074,3097324.24243544,3197791.45082924
"383.0062",3164821.63721464,3128305.70348015,3201337.57094912,3108975.33582057,3220667.93860871
"384.0062",3180897.97715359,3140484.62687711,3221311.32743007,3119091.09152676,3242704.86278042
"385.0062",3196623.36395785,3152004.63662773,3241242.09128797,3128384.9091393,3264861.81877639
"386.0062",3212911.517349,3163794.53165647,3262028.50304153,3137793.57003049,3288029.4646675
"387.0062",3230238.04298362,3176450.35430272,3284025.73166452,3147976.87186842,3312499.21409882
"388.0062",3248345.9665982,3189827.4830481,3306864.4501483,3158849.66908531,3337842.2641111
"389.0062",3266543.67888492,3203292.37426011,3329794.98350974,3169809.15616042,3363278.20160943
"390.0062",3284154.87357936,3216135.21824665,3352174.52891208,3180127.78775836,3388181.95940037
"391.0062",3300969.06798446,3228071.75632067,3373866.37964824,3189482.25054212,3412455.88542679
"392.0062",3317288.2770756,3239331.92785858,3395244.62629262,3198064.32937073,3436512.22478047
"393.0062",3333694.40975971,3250479.59631251,3416909.22320692,3206428.33500958,3460960.48450984
"394.0062",3350633.17907151,3261994.34424299,3439272.01390003,3215071.77946317,3486194.57867986
"395.0062",3368167.85373177,3274003.37828003,3462332.3291835,3224155.71604609,3512179.99141744
"396.0062",3385976.45279446,3286231.46800723,3485721.43758169,3233429.66257741,3538523.24301151
"397.0062",3403611.60340097,3298239.88779156,3508983.31901037,3242459.47098882,3564763.73581311
"398.0062",3420787.32615818,3309712.80628688,3531861.84602948,3250913.50726482,3590661.14505154
"399.0062",3437543.75818032,3320649.84283845,3554437.67352219,3258769.94193939,3616317.57442124
"400.0062",3454174.92198415,3331319.15789237,3577030.68607594,3266283.24490542,3642066.59906289
"401.0062",3471017.70835145,3342062.5789181,3599972.83778479,3273797.85695698,3668237.55974592
"402.0062",3488232.33819748,3353068.18964028,3623396.48675468,3281516.611499,3694948.06489597
"403.0062",3505728.14132074,3364277.4582823,3647178.82435918,3289397.98980934,3722058.29283213
"404.0062",3523249.3565276,3375450.63595187,3671048.07710334,3297210.71939603,3749287.99365918
"405.0062",3540557.93284614,3386343.83720777,3694772.0284845,3304707.82623637,3776408.0394559
"406.0062",3557577.92834024,3396860.69527891,3718295.16140156,3311782.13130474,3803373.72537573
"407.0062",3574423.79332425,3407096.60185248,3741750.98479601,3318518.93726054,3830328.64938795
"408.0062",3591303.46422663,3417253.6392544,3765353.28919886,3325117.22745503,3857489.70099823
"409.0062",3608377.8044324,3427502.72328953,3789252.88557528,3331753.23912266,3885002.36974215
"410.0062",3625665.36291414,3437880.28077109,3813450.44505719,3338472.86303384,3912857.86279444
"411.0062",3643049.64312382,3448284.21042793,3837815.07581971,3345181.61831666,3940917.66793099
"412.0062",3660368.36116722,3458555.27646283,3862181.44587161,3351721.88273899,3969014.83959545
"413.0062",3677521.01458111,3468585.28308259,3886456.74607964,3357981.38790474,3997060.64125748
"414.0062",3694523.30155987,3478378.31823172,3910668.28488802,3363958.07566343,4025088.52745631
"415.0062",3711482.88435241,3488034.90919905,3934930.85950577,3369748.69628415,4053217.07242067
"416.0062",3728520.234337,3497677.10100423,3959363.36766976,3375476.127822,4081564.340852
"417.0062",3745692.08386862,3507370.29198956,3984013.87574767,3381210.35611582,4110173.81162141
"418.0062",3762963.94886171,3517089.85631237,4008838.04141105,3386931.97396151,4138995.9237619
"419.0062",3780243.41385787,3526748.72455668,4033738.10315906,3392556.74196701,4167930.08574873
"420.0062",3797445.0221069,3536260.10037243,4058629.94384137,3397997.15464093,4196892.88957287
"421.0062",3814542.8142763,3545592.31534146,4083493.31321114,3403218.52135769,4225867.1071949
"422.0062",3831578.85765985,3554781.95834515,4108375.75697455,3408254.53090237,4254903.18441733
"423.0062",3848628.42258686,3563902.87492901,4133353.97024472,3413178.27458545,4284078.57058827
"424.0062",3865748.73547625,3573015.64940891,4158481.8215436,3418052.11428611,4313445.3566664
"425.0062",3882945.62808796,3582131.94071601,4183759.31545992,3422890.7936536,4343000.46252233
"426.0062",3900176.39603234,3591213.79346576,4209138.99859893,3427658.87127482,4372693.92078987
"427.0062",3917382.65343894,3600204.12869577,4234561.17818211,3432299.96002271,4402465.34685517
"428.0062",3934528.72201837,3609065.2096355,4259992.23440124,3436775.23343263,4432282.2106041
"429.0062",3951621.02412124,3617800.18136199,4285441.8668805,3441086.10169781,4462155.94654468
"430.0062",3968698.69721929,3626446.25689772,4310951.13754086,3445268.7590988,4492128.63533978
