"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"371.0062",98250.6689330694,98164.1364158685,98337.2014502702,98118.3288682877,98383.0089978511
"372.0062",98556.2029645587,98398.2095564148,98714.1963727027,98314.5728982529,98797.8330308645
"373.0062",98828.5935065443,98599.4746970782,99057.7123160105,98478.1865258127,99179.0004872759
"374.0062",99088.1626327007,98779.8125021858,99396.5127632156,98616.5818031142,99559.7434622873
"375.0062",99330.9524956667,98942.4381546397,99719.4668366936,98736.7710859108,99925.1339054225
"376.0062",99567.8737484007,99106.4676160122,100029.279880789,98862.2139637761,100273.533533025
"377.0062",99829.8408727802,99290.1057631674,100369.575982393,99004.387255092,100655.294490468
"378.0062",100120.701150306,99487.0412229383,100754.361077674,99151.6019197502,101089.800380862
"379.0062",100411.752906349,99672.2885155905,101151.217297107,99280.8397127621,101542.666099936
"380.0062",100683.665784908,99833.359558157,101533.972011658,99383.2346317115,101984.096938104
"381.0062",100937.362315997,99974.3502027661,101900.374429227,99464.5623839818,102410.162248011
"382.0062",101182.518020401,100107.378097892,102257.65794291,99538.2334023545,102826.802638448
"383.0062",101433.962757909,100246.592827757,102621.332688061,99618.0371549195,103249.888360899
"384.0062",101703.781679539,100399.293330872,103008.270028206,99708.7389123339,103698.824446744
"385.0062",101987.770019683,100557.666305837,103417.873733529,99800.61512974,104174.924909626
"386.0062",102269.216213563,100706.106989136,103832.32543799,99878.646948816,104659.78547831
"387.0062",102536.17207846,100836.168019965,104236.176136955,99936.2402319354,105136.103924984
"388.0062",102789.880588651,100951.819011879,104627.942165423,99978.8079882992,105600.953189002
"389.0062",103040.717365564,101064.180850908,105017.25388022,100017.865623186,106063.569107942
"390.0062",103300.130240936,101183.217335888,105417.043145984,100062.591335867,106537.669146005
"391.0062",103572.515720771,101310.731285469,105834.300156073,100113.414929847,107031.616511695
"392.0062",103851.655358024,101439.090751934,106264.219964115,100161.95619535,107541.354520698
"393.0062",104126.294490292,101557.953910616,106694.635069968,100198.35653482,108054.232445765
"394.0062",104389.962057526,101663.008389179,107116.915725872,100219.446316165,108560.477798886
"395.0062",104645.490237757,101758.671985347,107532.308490168,100230.482713474,109060.497762041
"396.0062",104901.559135093,101853.666310196,107949.451959989,100240.209310284,109562.908959902
"397.0062",105165.554471376,101954.096520275,108377.012422477,100254.053372824,110077.055569928
"398.0062",105438.143737994,102059.139061243,108817.148414746,100270.402034826,110605.885441163
"399.0062",105713.246630895,102162.224323604,109264.268938186,100282.426664138,111144.066597652
"400.0062",105983.335694219,102256.6605099,109710.010878539,100283.877834135,111682.793554303
"401.0062",106245.5311893,102340.940930355,110150.121448245,100273.975703223,112217.086675377
"402.0062",106503.388489755,102419.434672055,110587.342307456,100257.520112375,112749.256867136
"403.0062",106763.450800088,102498.441409061,111028.460191116,100240.681818423,113286.219781753
"404.0062",107029.913728106,102581.207004761,111478.62045145,100226.203920431,113833.62353578
"405.0062",107301.633506935,102665.755842267,111937.511171603,100211.670446712,114391.596567158
"406.0062",107573.496514291,102746.910758406,112400.082270176,100191.870597577,114955.122431004
"407.0062",107840.751523615,102820.618364013,112860.884683218,100163.120396665,115518.382650566
"408.0062",108102.682863698,102887.019473845,113318.34625355,100126.014055018,116079.351672378
"409.0062",108362.780286546,102949.965615457,113775.594957635,100084.594612592,116640.965960499
"410.0062",108625.615032421,103013.706142402,114237.52392244,100042.941026414,117208.289038428
"411.0062",108893.195034324,103079.594811306,114706.795257341,100002.060753054,117784.329315594
"412.0062",109163.660707944,103145.343470761,115181.977945127,99959.438771387,118367.882644501
"413.0062",109433.092222208,103207.153234623,115659.031209793,99911.340219646,118954.84422477
"414.0062",109698.743883727,103262.815708434,116134.672059019,99855.8411322489,119541.646635205
"415.0062",109961.065688573,103313.293360294,116608.838016853,99794.1752635963,120127.95611355
"416.0062",110223.048858724,103361.693544765,117084.404172683,99729.5114451302,120716.586272318
"417.0062",110487.659643973,103410.679256684,117564.640031261,99664.3521382091,121310.967149736
"418.0062",110755.541731374,103460.470535411,118050.612927337,99598.6931166509,121912.390346098
"419.0062",111024.740929187,103508.924403781,118540.557454592,99530.2914663231,122519.19039205
"420.0062",111292.468593847,103553.433989901,119031.503197793,99456.6365394439,123128.30064825
"421.0062",111557.34373596,103593.006369572,119521.681102349,99376.9408411189,123737.746630802
"422.0062",111820.330207396,103628.894137689,120011.766277104,99292.6098175684,124348.050597224
"423.0062",112083.764801321,103663.428605347,120504.100997295,99205.971877854,124961.557724787
"424.0062",112349.412806764,103698.128468504,121000.697145025,99118.4151794463,125580.410434082
"425.0062",112617.153642214,103732.616648935,121501.690635493,99029.4268629633,126204.880421464
"426.0062",112885.255239544,103765.107017301,122005.403461787,98937.192180788,126833.3182983
"427.0062",113151.871550019,103793.935185304,122509.807914733,98840.1429098491,127463.600190188
"428.0062",113416.485125166,103818.849049494,123014.121200838,98738.1674118673,128094.802838465
"429.0062",113680.181425893,103841.082986334,123519.279865452,98632.5788944372,128727.783957349
"430.0062",113944.65351907,103862.274062634,124027.032975505,98524.9847797294,129364.32225841
